COUNTRY;YEAR;CODE;NDN;NDC;NDC per 1000 borns;NDN per 1000 borns;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Germany;2000;DEU2000;6;70;0,094183623082522;0,008072881978502;2387;80;Yes;26210;99,2;743229;9;99;236;38;30;2400;68,7;82581000;0,002906237512261
Germany;2012;DEU2012;7;46;0,066312959109123;0,010091102473127;4717;86;Yes;46710;99,2;693680,4;8,4;99;231;34;29;2400;71,3;82581000;0,002906237512261
Germany;2013;DEU2013;8;54;0,078783547019115;0,011671636595425;5006;86;Yes;47410;99,2;685422,3;8,3;99;231;33;29;2400;71,3;82581000;0,002906237512261
Republic of Korea;2000;KOR2000;38;237;0,354415311937814;0,05682608377062;504;85;Yes;24640;100;668707;13;100;487;62;6;20000;68,1;51439000;0,038881004685161
Italy;2000;ITA2000;11;55;0,090804028396896;0,018160805679379;1527;80;Yes;21820;99,5;605700;10;99;194;33;20;8200;70;60570000;0,01353805514281
Italy;2012;ITA2012;1;26;0,047695045218572;0,001834424816099;3114;82;Yes;36000;99,5;545130;9;99;202;29;20;3600;72,8;60570000;0,00594353640416
Malaysia;2012;MYS2012;39;225;0,418520557729796;0,072543563339831;418;70;No;10150;95,9;537608;17;99;89;45;2;5700;66,5;31624000;0,018024285352897
Malaysia;2013;MYS2013;37;224;0,416660466362108;0,068823380604455;423;90;No;10760;96;537608;17;99;90;44;2;5700;66,5;31624000;0,018024285352897
Italy;2013;ITA2013;5;21;0,04078897532267;0,009711660791112;3155;87;Yes;35370;99,5;514845;8,5;99;205;29;20;3600;72,8;60570000;0,00594353640416
Republic of Korea;2012;KOR2012;1;36;0,072901883784677;0,002025052327352;1724;93;Yes;24640;100;493814,4;9,6;100;516;52;4;20000;73,2;51439000;0,038881004685161
Spain;2000;ESP2000;6;50;0,107619457597934;0,012914334911752;1045;90;Yes;15790;99,9;464600;10;100;81;45;32;4200;69,2;46460000;0,009040034438226
Spain;2012;ESP2012;7;28;0,062130820881281;0,01553270522032;2626;90;Yes;29760;99,9;450662;9,7;100;94;34;28;3900;72,4;46460000;0,008394317692639
Republic of Korea;2013;KOR2013;2;34;0,076857799959039;0,004521047056414;1880;95;Yes;25870;100;442375,4;8,6;100;517;51;4;20000;73,2;51439000;0,038881004685161
Spain;2013;ESP2013;5;23;0,054401044500054;0,011826314021751;2581;99;Yes;29400;99,9;422786;9,1;100;93;33;27;3900;72,4;46460000;0,008394317692639
Cada;2012;CAN2012;4;36;0,089387028452388;0,009931892050265;5763;73;Yes;50900;99,8;402743;11;99;4;20;14;300;72,3;36613000;0,000819381094147
Cada;2000;CAN2000;7;48;0,119182704603184;0,017380811087964;2100;70;Yes;22610;99,8;402743;11;99;3;29;27;300;69,8;36613000;0,000819381094147
Cada;2013;CAN2013;4;36;0,090207092933602;0,010023010325956;5718;79;Yes;52620;99,8;399081,7;10,9;99;4;20;13;300;72,3;36613000;0,000819381094147
Poland;2012;POL2012;13;84;0,219395158889108;0,033954012685219;859;90;No;13300;95,7;382870,8;10,1;96;124;35;26;20000;68,7;37908000;0,052759312018571
Poland;2000;POL2000;31;182;0,480109739368999;0,081776933628786;247;90;No;4660;95,7;379080;10;87;125;47;38;20000;65,3;37908000;0,052759312018571
Poland;2013;POL2013;17;115;0,31274849907916;0,046232386820398;895;95;No;13520;96,5;367707,6;9,7;96;124;34;25;20000;68,7;37908000;0,052759312018571
Australia;2012;AUS2012;2;38;0,113463250746021;0,005971750039264;6393;91;Yes;59840;100;334910,2;13,7;100;3;18;15;1100;71,9;24446000;0,004499713654586
Australia;2013;AUS2013;1;40;0,123027030884091;0,003075675772102;6110;91;Yes;65640;100;325131,8;13,3;100;3;18;14;1000;71,9;24446000;0,004090648776896
Australia;2000;AUS2000;5;39;0,12271946330688;0,015733264526523;1714;90;Yes;21130;100;317798;13;100;2;27;23;1000;69,3;24446000;0,004090648776896
Chile;2012;CHL2012;11;57;0,225501444000475;0,043517822526407;1106;79;Yes;14410;98,8;252770;14;99;23;42;37;5000;70,5;18055000;0,027693159789532
Chile;2013;CHL2013;19;75;0,319536459109984;0,080949236307863;1204;82;Yes;15360;99;234715;13;99;23;42;37;5000;70,5;18055000;0,027693159789532
Netherlands;2000;NLD2000;6;28;0,126155107704923;0,027033237365341;1932;96;Yes;28460;97,8;221949;13;98;472;37;31;1100;69,2;17073000;0,006442921572073
Israel;2000;ISR2000;5;14;0,073296894305878;0,026177462252099;1490;90;Yes;19270;100;191004;22;100;291;44;23;7000;69,7;8682000;0,080626583736466
