COUNTRY;YEAR;CODE;NDN;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Sweden;2000;SWE2000;1;2282;92;Yes;31220;99,3;99710;10;99;22;33;35;500;69,7;9971000;0,0050145421723
Greece;2012;GRC2012;1;2070;32;Yes;23500;99;97606,6;9,1;98;86;54;34;1000;71,9;10726000;0,009323140033563
Kuwait;2000;KWT2000;1;494;90;Yes;17930;100;95151;23;100;115;35;11;100;64;4137000;0,002417210539038
Czech Republic;2000;CZE2000;1;361;50;Yes;6310;99,1;95139;9;99;133;41;30;100;65,8;10571000;0,000945984296661
Switzerland;2000;CHE2000;1;3541;60;Yes;43460;99,9;92851;11;100;182;35;26;4000;69,9;8441000;0,047387750266556
Greece;2013;GRC2013;1;2146;32;Yes;22540;99;92243,6;8,6;98;85;54;34;1000;71,9;10726000;0,009323140033563
Lebanon;2013;LBN2013;1;631;80;No;8450;80,7;90439,34;14,87;92;516;44;29;200;65,7;6082000;0,003288391976324
Hungary;2012;HUN2012;1;999;90;Yes;12910;98;89043,5;9,1;98;110;35;27;1000;67,4;9785000;0,01021972406745
Hungary;2013;HUN2013;1;1056;92;Yes;13430;98;88065;9;98;109;34;26;1000;67,4;9785000;0,01021972406745
Austria;2000;AUT2000;1;2406;85;Yes;26790;100;87700;10;100;97;46;41;240;69;8770000;0,002736602052452
Portugal;2012;PRT2012;1;2000;80;No;21150;99,5;87431;8,5;99;115;32;14;210;71,4;10286000;0,002041609955279
Switzerland;2012;CHE2012;1;9071;65;Yes;84500;99,9;86942,3;10,3;100;192;28;21;4000;73,1;8441000;0,047387750266556
Kuwait;2012;KWT2012;1;1446;99;Yes;49950;100;86877;21;100;191;35;11;100;65,7;4137000;0,002417210539038
Kuwait;2013;KWT2013;1;1507;99;Yes;51990;100;86877;21;100;202;35;11;100;65,7;4137000;0,002417210539038
Switzerland;2013;CHE2013;1;9276;75;Yes;88460;99,9;86098,2;10,2;100;205;28;21;4000;73,1;8441000;0,047387750266556
Lebanon;2012;LBN2012;1;663;50;No;8530;80,7;85148;14;91;481;43;29;200;65,7;6082000;0,003288391976324
Austria;2013;AUT2013;1;5427;91;Yes;50750;100;82438;9,4;100;103;37;36;240;72;8770000;0,002736602052452
Austria;2012;AUT2012;1;5206;90;Yes;50060;100;82438;9,4;100;102;37;36;240;72;8770000;0,002736602052452
Portugal;2013;PRT2013;1;2037;90;No;21340;99,6;81259,4;7,9;99;114;32;14;210;71,4;10286000;0,002041609955279
Singapore;2000;SGP2000;1;662;45;Yes;23670;100;79632;14;100;6012;27;6;1000;70;5688000;0,017580872011252
Ireland;2012;IRL2012;1;4079;91;Yes;41720;90,3;75595,5;15,7;91;67;24;24;500;71,5;4815000;0,010384215991693
Denmark;2000;DNK2000;1;2613;80;Yes;32660;99,6;74763;13;100;126;42;35;1000;67,9;5751000;0,017388280299078
Costa Rica;2012;CRI2012;1;952;89;Yes;9210;94,3;73590;15;97;91;20;9;1000;69,8;4906000;0,020383204239707
Costa Rica;2013;CRI2013;1;1005;94;Yes;9810;94,5;73590;15;97;92;20;9;1000;69,8;4906000;0,020383204239707
Ireland;2013;IRL2013;1;4233;91;Yes;44240;90,4;72225;15;92;67;24;24;500;71,5;4815000;0,010384215991693
New Zealand;2000;NZL2000;1;1056;89;Yes;14080;95,3;71040;15;100;15;18,6;17,8;2000;69,1;4736000;0,04222972972973
Norway;2000;NOR2000;1;3165;90;Yes;36560;98,1;68757;13;98;12;43;41;2000;69,3;5289000;0,037814331631688
Ireland;2000;IRL2000;1;1593;91;Yes;24100;90,3;67410;14;89;55;33;31;500;67,4;4815000;0,010384215991693
New Zealand;2012;NZL2012;1;3954;93;Yes;36720;98,3;65688,32;13,87;100;17;18,6;17,8;2000;71,6;4736000;0,04222972972973
Serbia;2012;SRB2012;1;556;80;No;5700;96,5;65388,3;9,3;95;82;46;40;500;67,7;7031000;0,007111363959607
Serbia;2013;SRB2013;1;475;90;No;6050;96,5;64685,2;9,2;95;82;45;40;500;67,7;7031000;0,007111363959607
Norway;2012;NOR2012;1;9312;93;Yes;99100;98,1;63468;12;98;14;26;25;2000;72;5289000;0,037814331631688
New Zealand;2013;NZL2013;1;4063;93;Yes;39850;98,4;62515,2;13,2;100;17;18,6;17,8;2000;71,6;4736000;0,04222972972973
Norway;2013;NOR2013;1;9715;93;Yes;104190;98,1;61352,4;11,6;98;14;25;24;2000;72;5289000;0,037814331631688
Finland;2012;FIN2012;1;4158;92;Yes;48670;97,6;60610;11;99;18;25;20;700;71;5510000;0,012704174228675
Finland;2000;FIN2000;1;1700;90;Yes;26420;97,6;60610;11;99;17;34;26;700;67,9;5510000;0,012704174228675
Denmark;2012;DNK2012;1;6204;90;Yes;61650;99,6;59810,4;10,4;100;133;21;19;1000;71,2;5751000;0,017388280299078
Finland;2013;FIN2013;1;4449;92;Yes;49220;97,6;58957;10,7;99;18;24;20;700;71;5510000;0,012704174228675
Denmark;2013;DNK2013;1;6270;93;Yes;63200;99,6;57510;10;100;134;20;17;1000;71,2;5751000;0,017388280299078
Singapore;2012;SGP2012;1;2287;52;Yes;51110;100;57448,8;10,1;100;7525;28;5;1000;73,9;5688000;0,017580872011252
Singapore;2013;SGP2013;1;2507;60;Yes;54700;100;52898,4;9,3;100;7637;28;5;1000;73,9;5688000;0,017580872011252
Qatar;2000;QAT2000;1;652;89;Yes;75850;98;50141;19;100;51;19,4;1,4;100;65,5;2639000;0,003789314134142
Uruguay;2013;URY2013;1;1431;93;Yes;15580;96,1;48398;14;95;19;29;21;1000;67,9;3457000;0,028926815157651
Croatia;2012;HRV2012;1;950;90;No;13460;97,1;40719;9,8;97;76;39;32;100;69,4;4155000;0,002406738868833
Croatia;2013;HRV2013;1;982;99;No;13470;97,1;39057;9,4;97;76;39;33;100;69,4;4155000;0,002406738868833
Bahrain;2000;BHR2000;1;476;95;Yes;10940;99,2;32846;22;100;936;18;5;100;64,9;1493000;0,00669792364367
Qatar;2012;QAT2012;1;2029;92;Yes;75850;98;31668;12;100;182;19,4;1,4;100;67,8;2639000;0,003789314134142
Bosnia and Herzegovi;2012;BIH2012;1;446;5;No;4830;94,8;31563;9;95;71;49;31;1000;68,6;3507000;0,028514399771885
Bosnia and Herzegovi;2013;BIH2013;1;449;5;No;5180;94,8;31563;9;95;70;48;31;1000;68,6;3507000;0,028514399771885
Qatar;2013;QAT2013;1;2043;99;Yes;81810;98;31509,66;11,94;100;194;19,4;1,4;100;67,8;2639000;0,003789314134142
Lithuania;2013;LTU2013;1;966;40;Yes;15230;91,6;28845,6;10,1;92;230;40;22;500;66,1;2856000;0,01750700280112
Bahrain;2013;BHR2013;1;1067;99;Yes;21710;99,2;22454,72;15,04;100;1708;44;8;100;67;1493000;0,00669792364367
Bahrain;2012;BHR2012;1;920;99;Yes;19910;99,2;22395;15;100;1689;40;7;100;67;1493000;0,00669792364367
Slovenia;2012;SVN2012;1;2069;48;Yes;23280;99,1;22106,2;10,7;99;102;24;19;100;71,1;2066000;0,004840271055179
Slovenia;2013;SVN2013;1;2085;49;Yes;23070;99,1;21073,2;10,2;99;102;23;18;100;71,1;2066000;0,004840271055179
Latvia;2013;LVA2013;1;874;83;Yes;14900;86,9;19890;10,2;92;32;51;24;500;67,1;1950000;0,025641025641026
Latvia;2012;LVA2012;1;820;55;Yes;13790;86,5;19110;9,8;91;33;51;24;500;67,1;1950000;0,025641025641026
Slovenia;2000;SVN2000;1;831;40;Yes;11350;99,1;18594;9;99;99;30;23;100;66,8;2066000;0,004840271055179
Cyprus;2000;CYP2000;1;753;50;Yes;14860;100;15340;13;100;102;48;20;1000;69;1180000;0,084745762711864
Cyprus;2012;CYP2012;1;1955;60;Yes;28920;100;14160;12;100;123;48;20;1000;71,3;1180000;0,084745762711864
Estonia;2012;EST2012;1;994;80;No;16900;97,2;13917,8;10,6;100;31;44;25;200;69;1313000;0,015232292460015
Estonia;2013;EST2013;1;1072;85;No;18240;97,2;13523,9;10,3;100;31;43;25;200;69;1313000;0,015232292460015
Cyprus;2013;CYP2013;1;1884;70;Yes;27010;100;12980;11;100;124;48;20;1000;71,3;1180000;0,084745762711864
Brunei Darussalam;2000;BRN2000;1;543;80;No;14680;95;9009;21;96;63;30;5;21000;67,6;429000;4,8951048951049
Luxembourg;2000;LUX2000;1;3500;90;Yes;46590;97,6;7670;13;98;168;34;26;100;68,5;590000;0,016949152542373
Montenegro;2012;MNE2012;1;472;75;No;7000;94,6;7476;12;95;46;34,6;20,2;100;67,9;623000;0,016051364365971
Montenegro;2013;MNE2013;1;461;90;No;7330;95,1;7476;12;95;46;34,6;20,2;100;67,9;623000;0,016051364365971
Brunei Darussalam;2013;BRN2013;1;974;90;No;45180;95;6864;16;96;77;29;3;21000;70,3;429000;4,8951048951049
Luxembourg;2012;LUX2012;1;7551;95;Yes;75450;97,6;6667;11,3;98;205;27;22;200;71,8;590000;0,033898305084746
Luxembourg;2013;LUX2013;1;7981;95;Yes;75500;97,6;6667;11,3;98;210;27;21;200;71,8;590000;0,033898305084746
Iceland;2000;ISL2000;1;2961;80;Yes;31560;98,8;5055;15;99;3;34;27;50;70,3;337000;0,014836795252226
Malta;2000;MLT2000;1;656;80;No;10920;100;4829;11;100;1219;39;27;100;68,2;439000;0,022779043280182
Iceland;2012;ISL2012;1;3850;86;Yes;40750;98,8;4751,7;14,1;99;3;19;17;50;72,7;337000;0,014836795252226
Iceland;2013;ISL2013;1;4126;88;Yes;47080;98,8;4515,8;13,4;99;3;19;16;50;72,7;337000;0,014836795252226
Malta;2012;MLT2012;1;1857;90;No;21650;100;4302,2;9,8;100;1311;32;22;100;71,7;439000;0,022779043280182
Malta;2013;MLT2013;1;2000;95;No;22790;100;4170,5;9,5;100;1323;32;21;100;71,7;439000;0,022779043280182
Barbados;2000;BRB2000;1;602;80;Yes;11160;94,9;4004;14;88;628;14;2;200;64,7;286000;0,06993006993007
Barbados;2013;BRB2013;1;1007;87;Yes;15920;95,5;3432;12;96;657;13;1;200;66,8;286000;0,06993006993007
Barbados;2012;BRB2012;1;1009;84;Yes;15960;94,9;3432;12;95;655;13;1;200;66,8;286000;0,06993006993007
Saint Lucia;2012;LCA2012;1;573;80;No;8060;89,5;2864;16;90;287;16,3;4,6;600;66,1;179000;0,335195530726257
Antigua and Barbuda;2000;ATG2000;1;420;20;No;9230;85;2142;21;82;190;5;1,9;100;65;102000;0,098039215686275
Moco;2000;MCO2000;1;2684;80;Yes;90830;100;959,4;24,6;100;16041;38;28;50;60,1;39000;0,128205128205128
Andorra;2000;AND2000;1;1318;80;Yes;41010;100;847;11;100;139;44;32;10;81,2;77000;0,012987012987013
Saint Kitts and Nevis;2012;K2012;1;892;70;No;13710;72,2;764,5;13,9;92;202;12;0,6;270;66;55000;0,490909090909091
Saint Kitts and Nevis;2013;K2013;1;873;70;No;14540;72,2;758,45;13,79;92;204;12;0,6;270;66;55000;0,490909090909091
Moco;2012;MCO2012;1;6521;90;Yes;90830;100;739,83;18,97;100;18892;38;28;50;65,1;39000;0,128205128205128
Andorra;2012;AND2012;1;3414;90;Yes;41010;100;731,5;9,5;100;175;39;28;10;81,2;77000;0,012987012987013
Andorra;2013;AND2013;1;2948;90;Yes;43270;100;731,5;9,5;100;172;38;28;10;81,2;77000;0,012987012987013
Moco;2013;MCO2013;1;6993;90;Yes;90830;100;730,47;18,73;100;18986;38;28;50;65,1;39000;0,128205128205128
San Marino;2012;SMR2012;1;3877;12;No;6350;89,5;320,1;9,7;100;532;11;11;50;82;33000;0,151515151515152
San Marino;2000;SMR2000;1;2166;10;No;3470;89,5;320,1;9,7;100;457;11;11;50;80,62;33000;0,151515151515152
San Marino;2013;SMR2013;1;3847;12;No;6550;90;310,2;9,4;100;538;11;11;50;83,82;33000;0,151515151515152
Palau;2013;PLW2013;1;1008;99;Yes;9480;100;288,2;13,1;100;45;37,2;27;60;69,13;22000;0,272727272727273
Palau;2012;PLW2012;1;976;82;Yes;9630;100;279,4;12,7;100;45;37,2;27;60;69,13;22000;0,272727272727273
Congo;2000;COG2000;1;22;5;Yes;480;14,6;3172260;39;13;9;10;2;200000;46,3;81340000;0,24588148512417
Brazil;2012;BRA2012;1;1078;88;Yes;12280;81,6;3139320;15;84;24;21;12;48000;65,6;209288000;0,022934903100034
Brazil;2013;BRA2013;1;1085;94;Yes;12730;82,1;3139320;15;85;24;20;12;48000;65,6;209288000;0,022934903100034
Russian Federation;2012;RUS2012;1;913;35;No;13330;72,2;1918272,3;13,3;88;9;60;23;200000;63,4;144231000;0,138666444800355
Russian Federation;2013;RUS2013;1;957;35;No;14840;72,2;1903849,2;13,2;88;9;60;23;200000;63,4;144231000;0,138666444800355
Turkey;2012;TUR2012;1;569;97;Yes;11880;93,7;1372665;17;94;97;43;14;50000;66,2;80745000;0,061923338906434
Turkey;2013;TUR2013;1;608;97;Yes;12530;94,1;1372665;17;95;98;42;13;50000;66,2;80745000;0,061923338906434
Saudi Arabia;2000;SAU2000;1;396;90;Yes;8110;100;856388;26;98;10;20;4;500;62,8;32938000;0,001518003521768
Argenti;2000;ARG2000;1;710;40;Yes;7440;95,5;841149;19;95;14;44;34;5500;65,4;44271000;0,012423482641007
Argenti;2012;ARG2012;1;994;41;Yes;11790;95,5;796878;18;95;15;32;21;5500;67,6;44271000;0,012423482641007
Argenti;2013;ARG2013;1;1074;86;Yes;12770;95,8;796878;18;95;16;31;19;5500;67,6;44271000;0,012423482641007
Venezuela (Bolivarian Republic of);2000;VEN2000;1;273;5;Yes;3530;94;767448;24;87;28;21,6;11,8;6800;63,8;31977000;0,021265284423179
Thailand;2013;THA2013;1;264;50;No;5730;93,1;759418;11;95;133;42;2;6400;66,8;69038000;0,009270256959935
Thailand;2012;THA2012;1;247;40;No;5520;93,2;759418;11;95;133;42;2;6400;66,8;69038000;0,009270256959935
Malaysia;2000;MYS2000;1;122;60;No;3560;95,9;695728;22;97;71;55;3;12000;64,2;31624000;0,037945863900835
Saudi Arabia;2012;SAU2012;1;992;98;Yes;24050;100;691698;21;100;14;26;3;500;64,4;32938000;0,001518003521768
Saudi Arabia;2013;SAU2013;1;808;98;Yes;25440;100;691698;21;100;14;27;3;500;64,4;32938000;0,001518003521768
Ukraine;2012;UKR2012;1;290;80;No;3500;95,8;510446,4;11,4;96;79;51;14;17000;64,1;44776000;0,037966767911381
Ukraine;2013;UKR2013;1;313;80;No;3800;95,8;497013,6;11,1;96;79;50;14;17000;64,1;44776000;0,037966767911381
Sri Lanka;2012;LKA2012;1;88;80;No;3360;93,8;362134;17;93;326;29;1;1000;67;21302000;0,004694394892498
Sri Lanka;2013;LKA2013;1;102;90;No;3490;94,8;340832;16;94;328;29;1;1000;67;21302000;0,004694394892498
Chile;2000;CHL2000;1;364;70;Yes;5090;98,8;306935;17;92;21;50;44;2100;67,7;18055000;0,011631127111603
Tunisia;2012;TUN2012;1;292;25;No;4090;90,3;222567,6;19,3;91;70;45,1;4,4;500;66,7;11532000;0,004335761359695
Tunisia;2013;TUN2013;1;309;30;No;4130;90,9;222567,6;19,3;92;71;45,1;4,4;500;66,7;11532000;0,004335761359695
Cuba;2000;CUB2000;1;166;80;No;2610;92,7;149305;13;89;104;55;31;500;67,2;11485000;0,00435350457118
Libya;2012;LBY2012;1;669;25;Yes;10860;96,6;139612,5;21,9;100;4;29,5;0,9;6000;63,7;6375000;0,094117647058824
Libya;2013;LBY2013;1;433;35;Yes;10520;96,6;133875;21;100;4;29,5;0,9;6000;63,7;6375000;0,094117647058824
Cuba;2012;CUB2012;1;558;90;No;6210;92,7;126335;11;91;107;53;20;3300;69,2;11485000;0,028733130169787
Cuba;2013;CUB2013;1;603;90;No;6570;93,1;119444;10,4;91;110;53;19;3300;69,2;11485000;0,028733130169787
Lebanon;2000;LBN2000;1;579;40;No;5470;80,7;115558;19;75;316;35;24;100;61,2;6082000;0,001644195988162
Oman;2000;OMN2000;1;273;90;Yes;7070;96,7;111264;24;88;7;13;1;10000;63,2;4636000;0,215703192407248
Hungary;2000;HUN2000;1;326;85;Yes;4660;98;97850;10;98;114;46;34;1000;63,7;9785000;0,01021972406745
Oman;2012;OMN2012;1;605;99;Yes;19560;96,7;96475,16;20,81;98;11;19;1;10000;66,6;4636000;0,215703192407248
Costa Rica;2000;CRI2000;1;287;85;Yes;3580;94,3;93214;19;94;77;28;13;500;68,1;4906000;0,010191602119853
Oman;2013;OMN2013;1;678;99;Yes;20580;96,7;92720;20;99;12;19;1;10000;66,6;4636000;0,215703192407248
Serbia;2000;SRB2000;1;64;80;No;1530;96,5;70310;10;98;86;55;41;100;64,5;7031000;0,001422272791921
Bulgaria;2013;BGR2013;1;555;94;Yes;7610;86;65090;9,2;86;67;44;29;500;66,4;7075000;0,007067137809187
Jamaica;2000;JAM2000;1;189;70;Yes;3210;81,7;60690;21;84;245;29;9;1700;63,9;2890000;0,058823529411765
Slovakia;2012;SVK2012;1;1377;98;Yes;17550;98,8;55939,3;10,3;99;112;41;18;200;68,1;5431000;0,003682563063892
Slovakia;2013;SVK2013;1;1454;98;Yes;18140;98,8;54853,1;10,1;99;113;40;18;200;68,1;5431000;0,003682563063892
Slovakia;2000;SVK2000;1;208;90;Yes;5520;98,8;54310;10;99;112;46;21;100;64,9;5431000;0,001841281531946
Georgia;2013;GEO2013;1;350;10;Yes;4240;87,5;52010;14;86;66;59;6;1100;66,4;3715000;0,029609690444145
Georgia;2012;GEO2012;2;333;5;Yes;3870;88,1;52010;14;87;67;59;6;1100;66,4;3715000;0,029609690444145
Uruguay;2012;URY2012;1;1265;93;Yes;13910;95,9;48398;14;95;19;30;22;1000;67,9;3457000;0,028926815157651
Jamaica;2012;JAM2012;1;302;70;Yes;4970;81,7;41991,7;14,53;85;262;30;6;1700;67;2890000;0,058823529411765
Croatia;2000;HRV2000;1;371;80;No;5290;97,1;41550;10;97;79;40;28;100;66,4;4155000;0,002406738868833
Jamaica;2013;JAM2013;1;305;70;Yes;5020;81,8;39130,6;13,54;85;263;30;6;1700;67;2890000;0,058823529411765
Bosnia and Herzegovi;2000;BIH2000;1;103;5;No;1480;94,8;38577;11;95;74;58;36;1000;65,1;3507000;0,028514399771885
Albania;2013;ALB2013;1;240;99;Yes;4480;92,7;37427;13;87;106;51;8;500;68,8;2879000;0,017367141368531
Albania;2012;ALB2012;1;220;99;Yes;4360;92,1;36649,67;12,73;87;106;52;8;500;68,8;2879000;0,017367141368531
Lithuania;2012;LTU2012;1;939;35;Yes;14100;91,2;29131,2;10,2;92;48;41;22;500;66,1;2856000;0,01750700280112
Lithuania;2000;LTU2000;1;211;30;Yes;3210;91,2;28560;10;85;56;53;21;200;63,9;2856000;0,007002801120448
Mauritius;2000;MUS2000;1;146;1;No;3870;93;21539;17;91;585;47;5;1200;63,8;1267000;0,094711917916338
Trinidad and Tobago;2000;TTO2000;1;260;30;Yes;5400;91,5;20535;15;91;247;27,4;7,1;1000;61,4;1369000;0,073046018991965
Latvia;2000;LVA2000;1;196;45;Yes;3310;86,5;17550;9;87;38;57;25;1000;63;1950000;0,051282051282051
Estonia;2000;EST2000;1;214;60;No;4150;97,2;11817;9;99;33;55;27;200;63,1;1313000;0,015232292460015
Maldives;2012;MDV2012;1;710;50;No;8260;98;9306;22;96;1283;34,5;7,7;700;69,5;423000;0,16548463356974
Maldives;2013;MDV2013;1;720;70;No;8980;98;8883;21;96;1310;34,5;7,7;700;69,5;423000;0,16548463356974
Montenegro;2000;MNE2000;1;118;70;No;;94,6;8722;14;95;45;34,6;20,2;100;64,9;623000;0,016051364365971
Belize;2012;BLZ2012;1;259;60;No;4260;90,2;8718,75;23,25;86;15;17,4;1,8;500;62,2;375000;0,133333333333333
Belize;2013;BLZ2013;1;262;80;No;4330;90,6;8625;23;87;15;17,4;1,8;500;62,2;375000;0,133333333333333
Brunei Darussalam;2012;BRN2012;1;946;85;No;42290;95;7293;17;96;74;29;3;21000;70,3;429000;4,8951048951049
Bahamas;2012;BHS2012;2;1618;37;Yes;21330;92;5925;15;92;37;15,8;4,5;500;66,6;395000;0,126582278481013
Bahamas;2013;BHS2013;2;1621;97;Yes;23580;92;5925;15;92;38;15,8;4,5;500;66,6;395000;0,126582278481013
Saint Lucia;2000;LCA2000;1;272;80;No;4620;89,5;3401;19;79;257;16,3;4,6;600;63;179000;0,335195530726257
Saint Lucia;2013;LCA2013;1;621;90;No;8150;90;2761,97;15,43;91;288;16,3;4,6;600;66,1;179000;0,335195530726257
Saint Vincent and the Gredines;2000;VCT2000;1;137;80;No;3470;89,5;2200;20;71;277;15,6;2,2;550;62,6;110000;0,5
Greda;2013;GRD2013;1;499;75;No;7510;98;2052;19;88;311;15,4;4,4;800;65;108000;0,740740740740741
Greda;2012;GRD2012;1;471;65;No;7160;98;2052;19;89;310;15,4;4,4;800;65;108000;0,740740740740741
Greda;2000;GRD2000;1;339;40;No;4660;98;2052;19;92;299;15,4;4,4;800;62,4;108000;0,740740740740741
Saint Vincent and the Gredines;2012;VCT2012;1;340;90;No;6350;89,5;1870;17;85;280;15,6;2,2;550;64,6;110000;0,5
Dominica;2000;DMA2000;1;225;20;No;3600;72,6;1861,1;25,15;64;93;8,4;2,8;100;63,2;74000;0,135135135135135
Seychelles;2000;SYC2000;1;356;80;No;7290;98,4;1805;19;94;176;48;11;500;64,4;95000;0,526315789473684
Seychelles;2012;SYC2012;1;502;90;No;12240;98,4;1767;18,6;99;192;44;9;500;65,5;95000;0,526315789473684
Antigua and Barbuda;2012;ATG2012;1;727;30;No;11900;85,4;1734;17;87;220;5;1,9;100;67,2;102000;0,098039215686275
Seychelles;2013;SYC2013;1;551;90;No;13500;98,4;1653;17,4;100;196;44;9;500;65,5;95000;0,526315789473684
Antigua and Barbuda;2013;ATG2013;1;665;40;No;12020;85;1632;16;88;222;5;1,9;100;67,2;102000;0,098039215686275
Dominica;2012;DMA2012;1;399;24;No;6750;72,6;1438,56;19,44;78;96;8,4;2,8;100;65,1;74000;0,135135135135135
Dominica;2013;DMA2013;1;417;25;No;6610;73,4;1421,54;19,21;78;97;8,4;2,8;100;65,1;74000;0,135135135135135
Saint Kitts and Nevis;2000;K2000;1;392;50;No;8630;72,2;1048,3;19,06;85;175;12;0,6;270;75,3;55000;0,490909090909091
Chi;2012;CHN2012;2;322;80;No;5490;73,1;16746170,1;12,1;72;144;49;2;7000;68,5;1383981000;0,000505787290432
Chi;2013;CHN2013;1;367;90;No;6800;74,2;16718490,48;12,08;73;145;49;2;7000;68,5;1383981000;0,000505787290432
Mexico;2012;MEX2012;1;618;99;Yes;9870;83,7;2454097;19;87;62;23;8;12000;67,4;129163000;0,009290586313418
Mexico;2013;MEX2013;1;664;84;Yes;10020;84,4;2454097;19;88;63;22;8;12000;67,4;129163000;0,009290586313418
Turkey;2000;TUR2000;1;197;90;Yes;4300;93,7;1776390;22;83;82;59;20;50000;61,6;80745000;0,061923338906434
Iran (Islamic Republic of);2012;IRN2012;2;485;5;No;6790;89,6;1473108,45;18,15;88;47;23;1;5000;66,5;81163000;0,006160442566194
Iran (Islamic Republic of);2013;IRN2013;1;432;10;No;7050;89,9;1452817,7;17,9;88;48;23;1;5000;66,5;81163000;0,006160442566194
Thailand;2000;THA2000;2;67;10;No;1980;93,2;1035570;15;95;123;47;3;35000;63,4;69038000;0,050696717749645
Colombia;2012;COL2012;1;530;84;Yes;7140;80,2;785056;16;83;42;17;7;5600;65,2;49066000;0,011413198548893
Colombia;2013;COL2013;1;533;87;Yes;7760;80,6;785056;16;83;43;17;7;5600;65,2;49066000;0,011413198548893
Peru;2012;PER2012;1;368;85;Yes;5670;73,7;657774,25;20,45;74;24;17,9;4,5;2700;65,7;32165000;0,008394217316959
Peru;2013;PER2013;1;354;89;Yes;6270;74,6;643300;20;75;24;17,9;4,5;2700;65,7;32165000;0,008394217316959
Venezuela (Bolivarian Republic of);2012;VEN2012;2;618;5;Yes;11740;94;639540;20;94;34;21,6;11,8;6500;65,2;31977000;0,020327110110392
Venezuela (Bolivarian Republic of);2013;VEN2013;2;520;15;Yes;12480;94,4;639540;20;95;34;21,6;11,8;6500;65,2;31977000;0,020327110110392
Syrian Arab Republic;2013;SYR2013;1;43;80;No;970;95,7;438480;24;93;108;28,3;6,3;30000;55,9;18270000;0,164203612479475
Syrian Arab Republic;2012;SYR2012;1;73;60;No;970;95,7;438480;24;93;111;28,3;6,3;30000;55,9;18270000;0,164203612479475
Kazakhstan;2013;KAZ2013;1;580;52;Yes;11840;97,5;409049,08;22,73;98;6;45;9;2900;63,3;17996000;0,016114692153812
Kazakhstan;2012;KAZ2012;1;539;37;Yes;9940;97,5;408329,24;22,69;98;6;46;10;2900;63,3;17996000;0,016114692153812
Sri Lanka;2000;LKA2000;1;32;50;No;880;93,8;383436;18;85;297;32;2;100;63,9;21302000;0,00046943948925
Ecuador;2013;ECU2013;1;431;90;Yes;5830;83,8;350288,75;21,07;84;63;15;4;1900;67;16625000;0,011428571428571
Ecuador;2012;ECU2012;1;361;94;Yes;5410;82,8;349125;21;83;62;15;4;1900;67;16625000;0,011428571428571
Jordan;2000;JOR2000;1;171;20;Yes;1680;98,6;300762;31;99;58;42;8;100;62,9;9702000;0,00103071531643
Jordan;2013;JOR2013;1;336;60;Yes;3790;98,6;271656;28;97;95;66;11;100;65;9702000;0,00103071531643
Jordan;2012;JOR2012;1;351;50;Yes;3680;98,6;271656;28;97;90;64;10;100;65;9702000;0,00103071531643
El Salvador;2012;SLV2012;1;254;94;Yes;3640;72,6;114804;18;89;300;18,2;2,6;1000;64,1;6378000;0,015678896205707
El Salvador;2013;SLV2013;1;266;92;Yes;3750;73,4;108426;17;90;302;18,2;2,6;1000;64,1;6378000;0,015678896205707
Pama;2000;PAN2000;2;295;58;Yes;3910;73,4;94277;23;64;41;26;5;1000;66,4;4099000;0,024396194193706
Belarus;2000;BLR2000;1;75;5;No;1380;94,4;85320;9;95;49;64;13;500;61,2;9480000;0,005274261603376
Pama;2012;PAN2012;1;723;62;Yes;9530;73,4;81980;20;74;51;13;3;1300;68,1;4099000;0,031715052451818
Pama;2013;PAN2013;2;796;68;Yes;10510;73,9;80668,32;19,68;75;52;13;3;1300;68,1;4099000;0,031715052451818
Bulgaria;2012;BGR2012;1;520;94;Yes;7420;86;67212,5;9,5;86;67;45;30;500;66,4;7075000;0,007067137809187
Uruguay;2000;URY2000;1;773;89;Yes;7050;95,9;55312;16;94;19;48;37;1000;66,1;3457000;0,028926815157651
Armenia;2013;ARM2013;2;159;40;Yes;4120;89,5;38090;13;91;102;53;2;500;64,2;2930000;0,017064846416382
Armenia;2012;ARM2012;2;150;30;Yes;3880;89,5;38090;13;91;101;55;2;500;64,2;2930000;0,017064846416382
Trinidad and Tobago;2012;TTO2012;2;991;39;Yes;16070;91,5;20535;15;92;262;27,4;7,1;500;63,3;1369000;0,036523009495983
Trinidad and Tobago;2013;TTO2013;2;995;80;Yes;18100;91,5;19973,71;14,59;92;263;27,4;7,1;500;63,3;1369000;0,036523009495983
Guya;2012;GUY2012;1;235;90;Yes;3620;83,6;14782;19;85;4;27,9;3,5;1000;59;778000;0,12853470437018
Mauritius;2012;MUS2012;1;439;1;No;9260;93;14570,5;11,5;93;619;41;4;1200;66,8;1267000;0,094711917916338
Mauritius;2013;MUS2013;2;463;5;No;9790;93,2;13810,3;10,9;93;620;41;4;1200;66,8;1267000;0,094711917916338
Surime;2000;SUR2000;2;167;20;No;1900;79,3;12949;23;81;3;9,9;2,3;500;59,1;563000;0,088809946714032
Cabo Verde;2013;CPV2013;2;165;45;No;3440;70,1;12012;22;64;129;20;4;200;64,2;546000;0,036630036630037
Belize;2000;BLZ2000;1;139;40;No;3150;90,2;11250;30;83;11;17,4;1,8;500;60,5;375000;0,133333333333333
