COUNTRY;YEAR;CODE;NDN;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Cote d'Ivoire;2012;CIV2012;3;80;1;Yes;1240;21,6;923210;38;28;67;18,7;1,8;20000;47;24295000;0,082321465322083
Guinea;2012;GIN2012;3;22;5;No;630;18,9;483246;38;19;46;12,5;2;8300;51,7;12717000;0,06526696547928
Guinea;2013;GIN2013;3;25;10;No;650;19,4;470529;37;20;47;12,5;2;8300;51,7;12717000;0,06526696547928
Benin;2000;BEN2000;3;15;60;Yes;390;18,4;469392;42;10;61;12;2;6200;48,1;11176000;0,055476020042949
Benin;2012;BEN2012;3;37;67;Yes;820;18,4;413512;37;13;86;16;1;3600;52,5;11176000;0,032211882605583
Benin;2013;BEN2013;3;37;70;Yes;890;19;407253,44;36,44;13;89;16;1;3600;52,5;11176000;0,032211882605583
Tajikistan;2000;TJK2000;2;7;1;No;170;94,4;267630;30;90;44;30;2,6;1000;56,6;8921000;0,0112095056608
Mauritania;2013;MRT2013;3;48;20;Yes;1410;39,5;150280;34;42;4;40;4;500;55,1;4420000;0,01131221719457
Azerbaijan;2000;AZE2000;3;30;20;Yes;610;84,7;148020;15;66;97;59;1;500;59,3;9868000;0,005066882853668
Kyrgyzstan;2000;KGZ2000;3;13;10;Yes;280;93;123460;20;92;26;51;5;500;59,7;6173000;0,008099789405475
Lesotho;2000;LSO2000;4;29;10;Yes;630;29,3;71456;32;7;62;35;1;26000;43,1;2233000;1,16435288849082
Comoros;2000;COM2000;3;13;15;No;420;34,2;30118;37;27;291;31;14;100;52,1;814000;0,012285012285012
Pakistan;2000;PAK2000;4;15;60;Yes;490;58,3;6304512;32;32;180;37;8;200;54,2;197016000;0,000101514597799
Sudan;2000;SDN2000;3;15;20;Yes;330;23,5;1621320;40;21;15;8,3;1;2600;50,9;40533000;0,00641452643525
Angola;2013;AGO2013;3;267;9;Yes;4350;50,6;1370064;46;37;21;16,7;1,6;25000;45,9;29784000;0,083937684662906
Myanmar;2000;MMR2000;3;3;1;No;1140;79,4;1334275;25;70;71;57;16;37000;54,7;53371000;0,06932603848532
Niger;2012;NER2012;3;24;4;Yes;390;10,1;1073850;50;11;14;16;1;1800;54,2;21477000;0,008381058807096
Madagascar;2000;MDG2000;2;12;60;Yes;250;11,6;1048411;41;5;27;26,6;1,6;2300;50,2;25571000;0,008994564154707
Cote d'Ivoire;2013;CIV2013;3;87;1;Yes;1340;22;906689,4;37,32;29;69;18,7;1,8;20000;47;24295000;0,082321465322083
Mali;2012;MLI2012;3;42;68;Yes;930;23,3;834390;45;29;13;33;3;5900;51,1;18542000;0,031819652680401
Mali;2013;MLI2013;3;53;71;Yes;770;23,8;815848;44;30;14;34;3;5900;51,1;18542000;0,031819652680401
Burundi;2000;BDI2000;3;7;96;Yes;130;47,5;456288;42;41;249;24,6;9,8;11000;43,6;10864000;0,101251840942563
Sierra Leone;2013;SLE2013;3;96;92;Yes;650;13;279609;37;14;96;56;12;5300;44,4;7557000;0,070133650919677
Sierra Leone;2012;SLE2012;3;69;92;Yes;530;12,8;279609;37;14;94;55;13;5300;44,4;7557000;0,070133650919677
Eritrea;2000;ERI2000;3;7;80;Yes;210;15,3;156590;35;8;34;11,3;0,6;1700;38,8;4474000;0,037997317836388
Mauritania;2012;MRT2012;3;44;1;Yes;1310;38,2;150280;34;40;4;39;4;500;55,1;4420000;0,01131221719457
